popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre_Art_Instrumental,genre_Electronic_Dance,genre_Folk_Country_Blues,genre_Latin_Brazilian,genre_Metal_HardRock,genre_Mood_Ambient,genre_Other,genre_Pop,genre_RnB_Soul,genre_Rock_Alternative,genre_World,is_hit
28,283283,0,0.271,0.664,10,-6.655,1,0.0409,0.0614,1.22e-05,0.402,0.27,141.572,4,0,0,0,0,0,0,0,0,1,0,0,0
22,259413,0,0.684,0.731,10,-7.427,0,0.0307,0.0605,0.0486,0.142,0.471,128.996,4,0,0,0,0,1,0,0,1,0,0,0,0
2,199688,1,0.367,0.373,8,-9.296,1,0.0361,0.61,0.0,0.135,0.476,94.182,1,0,0,0,0,0,0,0,0,0,1,0,0
20,200093,0,0.167,0.32,9,-13.239,0,0.0401,0.651,0.986,0.123,0.0349,146.584,3,0,0,0,0,0,1,0,0,0,0,0,0
44,221354,0,0.635,0.402,6,-12.091,0,0.0672,0.00389,0.0,0.33,0.356,90.009,4,0,0,0,0,0,0,0,0,0,0,1,0
27,174818,0,0.779,0.647,6,-8.234,0,0.0558,0.0293,0.000695,0.0937,0.685,110.019,4,0,0,0,0,0,0,0,0,1,0,0,0
1,266706,0,0.485,0.924,10,-4.046,1,0.0579,0.0373,1.62e-06,0.248,0.661,143.244,4,0,0,0,0,0,0,0,0,0,1,0,0
13,112568,0,0.199,0.961,7,-5.12,1,0.218,1.67e-05,0.527,0.563,0.226,168.246,4,0,0,0,0,1,0,0,0,0,0,0,0
27,355533,0,0.588,0.666,0,-9.411,1,0.045,0.906,0.79,0.111,0.962,103.993,4,0,0,0,1,0,0,0,0,0,0,0,0
3,391296,0,0.319,0.139,4,-25.418,0,0.0367,0.927,0.903,0.0808,0.0393,219.971,3,0,0,0,0,0,0,0,0,0,0,1,0
31,217266,0,0.293,0.552,6,-9.204,0,0.0385,0.216,0.378,0.101,0.503,126.901,3,0,0,0,0,0,0,0,0,0,1,0,0
34,350013,0,0.754,0.535,9,-8.987,0,0.0765,0.393,0.000477,0.139,0.292,121.98,4,0,1,0,0,0,0,0,0,0,0,0,0
62,229573,0,0.734,0.844,1,-5.357,0,0.0343,0.00346,1.81e-05,0.333,0.823,117.306,4,0,1,0,0,0,0,0,0,0,0,0,1
55,224626,0,0.502,0.953,2,-1.419,1,0.063,0.00831,0.0,0.432,0.695,167.908,4,0,0,0,0,0,0,0,1,0,0,0,1
58,214240,0,0.532,0.495,10,-6.662,1,0.0343,0.659,0.0,0.0754,0.308,124.936,4,1,0,0,0,0,0,0,0,0,0,0,1
69,209157,0,0.36,0.565,7,-4.898,1,0.0608,0.358,0.0,0.0448,0.311,173.281,4,0,0,0,0,0,0,0,1,0,0,0,1
51,286533,0,0.426,0.881,4,-3.458,0,0.0403,0.0011,0.00279,0.124,0.384,140.004,4,0,0,0,0,0,0,0,0,0,1,0,1
58,147143,0,0.895,0.718,2,-4.579,0,0.0581,0.246,1.45e-05,0.0892,0.88,100.036,4,0,0,0,0,0,0,0,0,0,0,1,1
1,217227,0,0.606,0.795,6,-5.03,1,0.0284,0.0411,0.0,0.0892,0.599,109.069,4,0,0,1,0,0,0,0,0,0,0,0,0
45,201613,0,0.567,0.484,1,-8.201,0,0.0397,0.805,0.0,0.881,0.843,80.557,4,0,0,0,1,0,0,0,0,1,0,0,0
