acousticness,instrumentalness,duration_ms,energy,loudness,valence,speechiness,liveness,danceability,tempo,is_hit,popularity,genre_Art_Instrumental,genre_Electronic_Dance,genre_Folk_Country_Blues,genre_Latin_Brazilian,genre_Metal_HardRock,genre_Mood_Ambient,genre_Other,genre_Pop,genre_RnB_Soul,genre_Rock_Alternative,genre_World
1.07e-05,0.0,255573,0.973,-2.558,0.0821,0.111,0.51,0.284,149.065,1,53,0,0,0,0,1,0,0,0,0,0,0
0.659,0.0,283746,0.453,-21.744,0.183,0.959,0.738,0.498,76.725,0,21,0,0,0,0,0,1,0,0,0,0,0
0.0445,2.93e-05,191400,0.843,-4.611,0.395,0.0854,0.0584,0.623,129.99,0,27,0,0,0,0,1,0,0,0,0,0,0
0.414,3.62e-06,356186,0.802,-5.299,0.815,0.0337,0.165,0.596,84.497,0,27,0,0,0,1,0,0,0,0,0,0,0
0.9,4.47e-05,241758,0.27,-14.397,0.214,0.0371,0.1,0.3,144.589,0,41,0,0,1,0,0,0,0,0,0,0,0
0.309,0.0,321977,0.472,-8.51,0.164,0.0353,0.521,0.229,134.521,1,50,0,0,1,1,0,0,0,0,0,0,0
0.985,0.000112,150133,0.125,-17.825,0.076,0.0431,0.262,0.246,111.735,0,49,1,0,0,0,0,0,0,0,0,0,0
0.521,0.000215,263909,0.642,-8.987,0.284,0.0412,0.96,0.264,112.734,0,39,0,0,0,1,0,0,0,0,0,0,0
0.0661,1.07e-05,197626,0.598,-8.425,0.683,0.0515,0.0975,0.727,97.037,0,49,0,1,0,0,0,0,0,0,0,0,0
0.396,9.11e-05,94440,0.678,-7.629,0.857,0.0289,0.124,0.656,170.175,0,48,0,0,0,0,0,1,0,0,0,0,0
0.27,0.0,334320,0.69,-7.028,0.435,0.0481,0.147,0.62,84.006,0,48,0,0,1,1,0,0,0,0,1,0,0
0.259,0.00887,174709,0.626,-7.551,0.307,0.0364,0.115,0.645,118.585,0,28,0,0,1,0,0,0,0,0,0,0,0
0.0477,1.19e-06,157837,0.711,-5.199,0.436,0.0384,0.143,0.759,111.902,0,0,0,0,0,1,0,0,0,0,1,0,0
0.565,0.0291,159202,0.789,-7.46,0.672,0.0375,0.175,0.673,100.027,0,44,0,0,0,1,0,0,0,0,0,0,0
0.0407,1.67e-06,216000,0.723,-7.632,0.594,0.034,0.111,0.757,100.039,0,31,0,1,0,0,0,0,0,0,0,0,0
0.0242,0.0286,275614,0.948,-1.59,0.507,0.122,0.137,0.486,170.015,1,67,0,0,0,0,0,0,0,1,0,0,0
0.218,0.0,188571,0.579,-6.087,0.256,0.0316,0.358,0.714,140.006,0,47,0,1,0,0,0,0,0,0,0,1,1
0.00237,0.35,306463,0.63,-4.631,0.432,0.203,0.202,0.817,122.933,0,0,0,1,0,0,0,0,0,1,0,0,1
0.777,0.0,231373,0.932,-5.497,0.342,0.893,0.927,0.569,86.499,0,25,0,0,0,0,0,1,0,0,0,0,0
0.713,2.54e-05,210800,0.554,-10.829,0.739,0.0628,0.142,0.725,141.146,0,37,0,0,0,1,0,0,0,0,0,0,0
0.836,0.0,167546,0.3,-9.762,0.451,0.116,0.232,0.54,111.098,0,20,0,0,0,1,0,0,0,0,0,0,0
0.93,0.839,159195,0.289,-11.398,0.15,0.0494,0.139,0.736,68.987,0,37,0,0,0,0,0,1,0,0,0,0,0
0.289,0.0,194544,0.528,-7.317,0.614,0.0551,0.0734,0.678,79.018,0,0,0,0,1,0,0,0,0,0,0,0,0
0.428,5.61e-06,314720,0.462,-6.166,0.0923,0.0291,0.122,0.285,142.365,1,62,0,0,0,0,0,0,0,0,0,0,1
0.000148,0.872,260079,0.855,-6.777,0.141,0.0426,0.223,0.422,88.004,0,18,0,0,0,0,0,0,0,1,0,0,0
0.731,0.783,224133,0.181,-14.743,0.216,0.0311,0.0966,0.386,104.577,0,23,0,0,0,0,0,1,0,0,0,0,0
0.00139,5.76e-06,259528,0.923,-5.754,0.285,0.0703,0.303,0.523,127.013,1,52,0,0,0,0,1,0,0,0,0,0,0
0.43,7.06e-05,237280,0.613,-8.69,0.384,0.0284,0.246,0.466,79.755,0,45,0,0,0,1,0,0,0,0,0,0,0
0.995,0.934,141941,0.0323,-26.851,0.196,0.0376,0.089,0.323,98.443,1,53,1,0,0,0,0,0,0,0,0,0,0
0.00373,0.0,184616,0.607,-8.755,0.414,0.442,0.16,0.655,106.547,0,35,0,0,0,0,0,0,0,0,0,0,1
0.549,0.0,203346,0.489,-5.15,0.927,0.0285,0.16,0.672,98.447,0,42,0,0,0,0,0,0,0,0,1,0,0
0.00246,0.0,215015,0.958,-2.317,0.729,0.0368,0.286,0.499,147.429,0,38,0,0,0,0,0,0,0,0,0,1,0
0.79,0.000534,231398,0.618,-9.492,0.483,0.099,0.0978,0.547,99.216,0,40,0,0,0,0,0,0,0,0,0,0,1
0.000677,0.63,215560,0.918,-6.139,0.766,0.0296,0.101,0.571,129.0,0,18,0,0,0,0,0,0,0,0,1,0,0
0.0486,0.00174,282840,0.926,-7.313,0.58,0.0548,0.162,0.687,115.753,0,47,0,0,0,0,0,0,0,0,0,1,0
0.0078,0.816,134426,0.665,-7.822,0.617,0.033,0.551,0.392,146.53,0,26,0,1,0,0,0,0,0,0,0,1,0
0.134,5.25e-06,230309,0.959,-3.198,0.465,0.136,0.761,0.356,137.93,1,54,0,0,0,1,0,0,0,0,0,0,0
0.888,0.0,196853,0.0696,-13.124,0.182,0.0504,0.11,0.57,139.348,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0059,2.12e-06,249786,0.8,-5.433,0.37,0.106,0.667,0.648,94.991,0,38,0,0,0,0,0,0,0,0,0,1,0
0.0909,0.0106,251693,0.47,-11.916,0.65,0.0289,0.675,0.433,78.639,0,22,0,0,1,0,0,0,0,0,0,0,0
0.00147,0.577,373452,0.698,-7.122,0.55,0.0438,0.0617,0.67,125.987,0,18,0,1,0,0,0,0,0,0,0,0,1
0.668,0.0,163266,0.473,-9.244,0.713,0.0829,0.0746,0.586,178.906,0,0,0,0,1,0,0,0,0,0,0,0,0
0.33,0.862,392404,0.681,-11.716,0.25,0.0365,0.108,0.57,124.002,0,38,0,1,0,0,0,0,0,0,0,0,0
0.388,0.0,212062,0.953,-0.706,0.87,0.333,0.0757,0.801,90.89,0,35,0,0,0,0,0,0,0,0,0,0,1
0.103,0.459,685880,0.575,-12.22,0.354,0.0897,0.895,0.419,129.267,1,59,0,0,0,0,0,0,0,0,0,1,0
0.978,0.000239,121000,0.192,-18.196,0.0611,0.0482,0.0955,0.223,74.543,0,20,1,0,0,0,0,0,0,0,0,0,0
0.033,0.173,374136,0.672,-7.212,0.68,0.0413,0.0976,0.82,127.992,0,18,0,1,0,0,0,0,0,0,0,0,0
0.0614,1.22e-05,283283,0.664,-6.655,0.27,0.0409,0.402,0.271,141.572,0,28,0,0,0,0,0,0,0,0,1,0,0
0.0605,0.0486,259413,0.731,-7.427,0.471,0.0307,0.142,0.684,128.996,0,22,0,0,0,0,1,0,0,1,0,0,0
0.61,0.0,199688,0.373,-9.296,0.476,0.0361,0.135,0.367,94.182,0,2,0,0,0,0,0,0,0,0,0,1,0
0.651,0.986,200093,0.32,-13.239,0.0349,0.0401,0.123,0.167,146.584,0,20,0,0,0,0,0,1,0,0,0,0,0
0.00389,0.0,221354,0.402,-12.091,0.356,0.0672,0.33,0.635,90.009,0,44,0,0,0,0,0,0,0,0,0,0,1
0.0293,0.000695,174818,0.647,-8.234,0.685,0.0558,0.0937,0.779,110.019,0,27,0,0,0,0,0,0,0,0,1,0,0
0.0373,1.62e-06,266706,0.924,-4.046,0.661,0.0579,0.248,0.485,143.244,0,1,0,0,0,0,0,0,0,0,0,1,0
1.67e-05,0.527,112568,0.961,-5.12,0.226,0.218,0.563,0.199,168.246,0,13,0,0,0,0,1,0,0,0,0,0,0
0.906,0.79,355533,0.666,-9.411,0.962,0.045,0.111,0.588,103.993,0,27,0,0,0,1,0,0,0,0,0,0,0
0.927,0.903,391296,0.139,-25.418,0.0393,0.0367,0.0808,0.319,219.971,0,3,0,0,0,0,0,0,0,0,0,0,1
