popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,is_hit
44,238538,0,0.713,0.75,1,-3.242,1,0.0325,0.0773,0.0,0.386,0.739,130.059,4,sertanejo,0
62,291015,0,0.681,0.515,7,-11.644,1,0.0745,0.638,1.32e-06,0.175,0.757,141.035,3,pop-film,1
56,317266,0,0.344,0.9,10,-5.997,1,0.158,0.000229,0.000965,0.316,0.251,180.059,4,anime,1
70,303586,0,0.504,0.354,4,-11.3,1,0.0339,0.29,4.71e-06,0.157,0.292,140.87,4,grunge,1
73,298986,0,0.662,0.4,2,-11.2,1,0.0548,0.735,1.65e-05,0.0863,0.617,79.972,4,pop,1
49,218320,0,0.798,0.87,0,-6.217,1,0.0334,0.304,0.109,0.0549,0.961,91.254,4,sertanejo,0
0,217200,0,0.359,0.573,9,-6.054,1,0.0326,0.665,0.000178,0.136,0.562,73.368,4,grunge,0
70,201773,0,0.726,0.829,6,-3.876,0,0.111,0.146,0.0,0.0916,0.95,149.994,4,k-pop,1
49,187000,0,0.583,0.705,1,-11.583,1,0.507,0.135,0.0,0.148,0.696,165.362,4,anime,0
68,195093,0,0.597,0.496,5,-9.441,1,0.077,0.0839,0.0,0.117,0.319,160.05,4,chill,1
39,173615,1,0.784,0.326,11,-9.043,1,0.229,0.832,0.000627,0.0723,0.283,146.006,4,sad,0
31,169010,0,0.717,0.463,11,-8.387,1,0.0316,0.838,0.0,0.112,0.232,124.939,4,sad,0
53,292761,0,0.726,0.74,11,-7.133,0,0.144,0.0617,0.0192,0.351,0.914,138.979,4,anime,1
47,215000,0,0.377,0.474,7,-9.904,1,0.0275,0.0259,0.0,0.0886,0.573,188.119,4,sertanejo,0
46,208960,0,0.58,0.702,4,-5.565,1,0.0337,0.0466,3.2e-06,0.536,0.299,105.076,4,grunge,0
53,167072,0,0.642,0.367,4,-9.992,1,0.0297,0.791,5.31e-05,0.0845,0.516,102.002,4,chill,1
45,203266,0,0.421,0.978,6,-4.004,0,0.302,0.0037,0.0,0.111,0.359,196.921,4,grunge,0
54,181666,0,0.476,0.907,7,-3.938,1,0.0593,3.98e-05,4.32e-06,0.353,0.303,96.515,4,grunge,1
67,252160,0,0.659,0.665,8,-8.181,0,0.0266,0.456,0.000486,0.0898,0.692,93.012,4,pop-film,1
45,220928,0,0.435,0.662,5,-3.979,0,0.0584,0.377,0.0,0.251,0.413,101.811,4,sertanejo,0
24,283066,0,0.59,0.709,6,-6.75,0,0.0283,0.0501,0.0,0.206,0.486,110.807,3,grunge,0
64,228615,0,0.635,0.79,2,-4.897,1,0.0336,0.404,0.0,0.0919,0.577,104.936,4,k-pop,1
69,280161,0,0.659,0.774,7,-7.014,1,0.0372,0.606,0.000333,0.185,0.883,82.995,4,pop,1
4,146426,0,0.757,0.571,7,-4.547,0,0.0906,0.264,8.97e-06,0.313,0.538,159.933,4,pop,0
83,168437,0,0.863,0.62,7,-7.167,1,0.135,0.0508,0.00324,0.129,0.432,103.971,4,k-pop,1
47,243066,0,0.691,0.935,2,-2.791,1,0.431,0.284,0.0,0.132,0.71,118.694,4,k-pop,0
55,76453,0,0.504,0.415,8,-19.308,0,0.121,0.879,0.494,0.35,0.626,114.263,4,grunge,1
45,188000,0,0.711,0.33,9,-12.348,0,0.0293,0.797,0.00242,0.125,0.463,98.988,4,indian,0
27,253786,0,0.515,0.981,5,-3.855,1,0.0532,0.00101,0.0,0.077,0.611,145.97,4,grunge,0
46,188470,0,0.585,0.567,6,-8.084,1,0.0489,0.53,0.000151,0.0908,0.334,170.003,4,sad,0
46,388362,0,0.624,0.535,0,-10.531,1,0.0376,0.642,5.31e-06,0.114,0.577,114.867,4,indian,0
27,199908,0,0.482,0.926,11,-3.866,0,0.0565,1.61e-05,0.00377,0.0636,0.44,141.964,4,grunge,0
39,249469,0,0.811,0.808,4,-7.112,0,0.3,0.31,0.0,0.632,0.838,92.011,4,anime,0
45,57853,0,0.305,0.893,5,-9.621,0,0.048,0.000746,0.914,0.366,0.173,120.226,4,anime,0
51,294720,0,0.249,0.914,2,-3.434,1,0.0599,0.0113,9.55e-06,0.318,0.209,150.052,4,grunge,1
62,61120,0,0.576,0.274,9,-13.531,0,0.0327,0.455,0.0,0.0842,0.404,85.969,4,pop-film,1
62,321613,0,0.499,0.683,6,-6.373,0,0.0334,0.703,0.00161,0.0749,0.295,134.95,4,pop-film,1
68,332711,0,0.638,0.631,4,-6.993,0,0.0353,0.624,0.0144,0.074,0.46,119.973,4,pop,1
50,145669,0,0.642,0.251,1,-13.259,1,0.0633,0.943,0.0013,0.265,0.111,127.024,4,chill,1
50,254653,0,0.786,0.659,2,-7.447,0,0.0289,0.433,0.00109,0.0997,0.951,135.449,4,k-pop,1
52,194218,0,0.475,0.855,6,-3.036,0,0.307,0.31,0.0,0.921,0.623,165.129,4,sertanejo,1
73,176973,0,0.778,0.8,2,-3.529,1,0.227,0.254,0.0,0.139,0.585,137.997,4,k-pop,1
54,91000,0,0.651,0.0816,5,-23.961,1,0.0643,0.987,0.86,0.219,0.293,72.025,4,anime,1
44,326293,0,0.751,0.291,9,-12.096,0,0.0455,0.703,0.0,0.116,0.646,98.444,3,k-pop,0
85,199053,0,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,4,pop,1
9,279923,0,0.71,0.149,7,-19.431,0,0.185,0.972,0.911,0.321,0.542,142.002,4,sad,0
58,260507,0,0.507,0.752,2,-4.337,1,0.19,0.52,0.0,0.258,0.953,124.96,4,pop-film,1
46,212690,0,0.404,0.962,6,-2.234,1,0.133,0.0457,3.15e-06,0.904,0.314,154.99,4,anime,0
66,174039,0,0.299,0.447,3,-7.862,0,0.0383,0.858,0.000314,0.097,0.321,121.723,4,pop,1
61,181818,0,0.32,0.373,2,-11.963,0,0.0432,0.563,0.931,0.318,0.0669,66.011,4,chill,1
59,201658,0,0.604,0.687,0,-5.13,0,0.0327,0.757,0.234,0.0718,0.504,119.992,4,k-pop,1
13,946552,0,0.364,0.194,10,-14.938,1,0.0431,0.936,0.0,0.0626,0.184,79.237,3,k-pop,0
52,378313,0,0.447,0.866,6,-5.588,1,0.0775,1.07e-05,3.87e-06,0.185,0.285,86.469,4,grunge,1
47,203289,0,0.561,0.744,4,-6.403,1,0.0408,0.581,0.0,0.821,0.638,152.076,4,sertanejo,0
